slide_number,slide_type,part_number,part_name,section,subsection,category,title,purpose,evidence,visual,takeaway,status,owner,notes
34,content,02,Macro & Cultural Factors,Supply-side Factors,Quality of Made in VN Games / Capability of VN Studios,supply,Quality of Made in VN Games / Capability of VN Studios,"Deepen the capability view with examples, segmentation, or maturity gaps.","Continuation slide for studio examples, benchmark comparisons, or gap analysis.",Continuation grid for examples and maturity gaps.,The real opportunity depends on whether enough studios can build and operate games beyond prototype quality.,outline,,Placeholder 2 of 2.
35,content,02,Macro & Cultural Factors,Supply-side Factors,Perceived Profitability in VN Market,supply,Perceived Profitability in VN Market,Show whether developer and publisher economics make Vietnam worth prioritizing.,To fill later:\n- Revenue pool attractiveness\n- UA efficiency or CAC signals\n- Monetization expectations\n- Views from local operators or publishers,"Economics bridge, monetization benchmark chart, quote wall.",Profitability perception affects how much serious studio talent stays focused on Vietnam rather than exporting globally.,outline,,Placeholder 1 of 2.
36,content,02,Macro & Cultural Factors,Supply-side Factors,Perceived Profitability in VN Market,supply,Perceived Profitability in VN Market,Extend the economics analysis with market examples or decision logic.,"Continuation slide for profitability examples, quotes, or strategic implications.",Continuation panel for economics and decision points.,"If the market begins to look more monetizable domestically, more capable studios may pivot toward it.",outline,,Placeholder 2 of 2.
37,divider,03,Demand Analysis,Demand Analysis,,meta,Demand Analysis,Start the demand quantification section.,,Section break slide.,Quantify how much demand exists and where it may go next.,seed,,
38,content,03,Demand Analysis,Overall Demand,Historical Overall Demand,demand,Historical Overall Demand,Measure the long-run size and growth of game demand in Vietnam across mobile and Steam-relevant PC demand.,"From outline:\n- Downloads, DAU, revenue from 2010-2025\n- Mobile via Sensor Tower\n- Steam estimate for Vietnam\n- Commentary on major phases","Three-panel trend chart for downloads, DAU, and revenue.",Demand trend should show whether Vietnam is still ramping structurally or maturing into a steadier market.,outline,,Key challenge from outline: estimate VN metrics for Steam.
39,divider,02,Macro & Cultural Factors,Supply-side Factors,,meta,Supply-side Factors,Start the supply-side subsection after the demand wrap-up.,,Subsection cover slide.,"Shift from demand conditions into the policy, support, and capability conditions shaping VN game supply.",seed,,
40,content,02,Macro & Cultural Factors,Supply-side Factors,Government Regulation & Policy,supply,SHIFTING GOVERNMENT STANCE & INDUSTRY REGULATION,Show how the state moved from mainly controlling games to formally recognizing them as a strategic cultural-tech industry.,Research synthesis:\n- policy moved from restriction-first to promotion + regulation\n- Decree 147/2024 raises compliance demands but also formalizes the market\n- late-2025 cultural-industry designation legitimizes gaming further,Policy timeline plus compare/contrast between heavier regulation and stronger official endorsement.,"Regulation is stricter than before, but the net direction is more supportive because the state now wants a formal domestic industry, not just containment.",draft,,Based on Vietnamese Game Development Government Support.docx
41,content,02,Macro & Cultural Factors,Supply-side Factors,Support for Domestic Game Development,supply,SUPPORT FOR DOMESTIC GAME DEVELOPMENT: DIRECT & INDIRECT,"Map the real support stack around local game development, including direct programs, tax treatment, ecosystem events, and the emerging talent pipeline.","Research synthesis:\n- Resolutions 79/80 and GameVerse/GameHub provide direct ecosystem support\n- tax + software-industry treatment provide strong indirect incentives\n- PTIT, UIT/VNG/Roblox, RMIT, FPT Polytechnic, SAMA build talent supply",Two-column support map with highlight metric and talent-pipeline block.,The state is not simply loosening rules; it is creating multiple layers of support that reduce friction for domestic developers over time.,draft,,Based on Vietnamese Game Development Government Support.docx
42,content,02,Macro & Cultural Factors,Supply-side Factors,Quality of Made in VN Games / Capability of VN Studios,supply,QUALITY OF MADE IN VN GAMES / CAPABILITY OF VN STUDIOS,"Show that Vietnam already has credible studio capability, with evidence across outsourcing, mobile publishing, premium PC, and global innovation.","Research synthesis:\n- Glass Egg + Gameloft built training and process discipline\n- Flappy Bird catalyzed mobile confidence\n- Amanotes, ABI/Onesoft, Zitga, Sky Mavis show scaled export capability\n- premium-PC examples show capability breadth widening",Capability evolution timeline plus flagship proof points and ecosystem KPIs.,"Vietnam is no longer a raw-talent story only; it has repeatable production capability, though most of it still points outward to export markets first.",draft,,Based on Vietnam Game Production Ecosystem_ Evolution.docx
43,content,04,Supply Analysis,Overall Supply,Historical Overall Supply,supply,Historical Overall Supply,Show how many new games are entering Vietnam and whether supply is crowding the market.,From outline:\n- Mobile new releases on Vietnamese stores\n- Officially licensed games\n- Steam global new releases for reference\n- ABEI licensing crawl input,"Supply trend line, licensed vs. total bars, Steam reference panel.",Rising supply alone is not enough; the key is whether quality supply is growing fast enough to absorb demand.,outline,,Key challenge from outline: crawl https://giayphep.abei.gov.vn/.
44,content,04,Supply Analysis,Overall Supply,Forecasted Overall Supply,supply,Forecasted Overall Supply,Estimate the next 1-3 years of release volume and licensing activity.,From outline:\n- Qualitative forecast with autoregression model\n- Confirmation or adjustment using prior factors,Historical + forecast bars with annotation on regulatory or studio drivers.,A moderate supply ramp may still leave room if demand and quality expectations grow faster.,outline,,
45,content,04,Supply Analysis,Supply of Made in VN Games,Historical Supply of Made in VN Games,supply,Historical Supply of Made in VN Games,Measure whether Vietnamese studios have meaningfully scaled local output over time.,From outline:\n- Newly released Made in VN games on Vietnamese stores\n- Official licenses for Made in VN titles\n- Steam global releases from VN studios,"Local supply trend, studio count trend, notable release examples.","If local supply remains thin relative to demand potential, sourcing leverage improves.",outline,,
46,content,04,Supply Analysis,Supply of Made in VN Games,Forecasted Supply for Made in VN Games,supply,Forecasted Supply for Made in VN Games,Project whether local output can fill the opportunity window quickly or slowly.,From outline:\n- Qualitative forecast with autoregression model\n- Confirmation or adjustment using studio capability and profitability perceptions,"Supply forecast with scenarios: base, upside, constrained.",Opportunity is strongest if local supply growth lags local demand growth for quality titles.,outline,,
47,divider,05,Demand-Supply Balance,Demand-Supply Balance,,meta,Demand-Supply Balance,Start the synthesis section.,,Section break slide.,This is where the opportunity thesis should become explicit.,seed,,
48,content,05,Demand-Supply Balance,Overall Demand-Supply Balance,Overall Demand-Supply Balance,balance,Overall Demand-Supply Balance,Synthesize whether Vietnam is becoming more crowded or more open at the market level.,To fill later:\n- Demand vs. supply trend\n- Saturation or whitespace indicators\n- Implication for mobile and PC,"Demand-supply gap chart, opportunity quadrant, or market heatmap.","Opportunity depends on the size and persistence of the imbalance, not just on demand growth alone.",outline,,
49,content,05,Demand-Supply Balance,Demand-Supply Balance for Made in VN Games,Demand-Supply Balance for Made in VN Games,balance,Demand-Supply Balance for Made in VN Games,Answer the key sourcing question: is there an underserved space for high-quality local titles?,To fill later:\n- Local demand vs. local supply\n- Quality-adjusted gap\n- Genre-specific whitespace\n- 1-3 year timing view,Gap-to-opportunity bridge or genre whitespace matrix.,The best sourcing case emerges when demand readiness outpaces the supply of credible Made in VN titles.,outline,,
50,divider,06,Conclusion,Conclusion,,meta,Conclusion,Start the closing recommendation section.,,Section break slide.,Close with a direct recommendation and practical next steps.,seed,,
51,content,06,Conclusion,Conclusion,Final recommendation,summary,Conclusion: does Vietnam offer a sharp sourcing opportunity in 2026?,"Wrap the deck with a direct answer, supporting logic, risks, and recommendation.",From outline:\n- Whether there is going to be strong opportunity in VN gaming market for the next 1-3 years in mid-core/casual genres\n- Increasing demand and ready conditions for adoption of high-quality Made in VN games\n- Low supply as most VN studios focus on hypercasual/hybridcasual and global market\n- Key challenge: Game development + LiveOps able to compete with international developers,"Final recommendation page with confidence level, proof points, and next steps.",The final call should clearly state whether Vietnam deserves focused sourcing attention in the next 1-3 years.,outline,,
