S/n,Date created,Studio type,Company Name,Company location,State/City,Founding Year,Founder(s) Background (Briefly),"#FTEs 
(can fill in later)",Previous games developed (if any),"Game(s) under Development (Description e.g. platform, genre, etc.)",Tier,"Commentary (e.g. link to call notes, pitch deck, etc.)",Vid comments/interest,RP interest
11,23/Jul/2025,Big company,Onesoft,VN,Ha Noi,2010,"Founders: Four co-founders; current CEO leads Falcon, Rocket Studio, ABI under Onesoft ecosystem.
 - Organizational Structure: Onesoft as parent, with subsidiary studios like ABI focused on mobile action, arcade, and puzzle games.
 - Direction: Mobile free-to-play games targeting SEA & US markets.
 - Notable Products: Metal Squad, Galaxy Attack, Space Shooter, Metal Wings 

",100,1945 Air Force: Airplane Games,,4,,,
12,23/Jul/2025,"Company
Mid scale",Nopowerup,VN,Ha Noi,2009,"Founder: Hiep
 - Organizational Structure: focusing on casual mobile game development and marketing.
 - Direction: Casual, idle, hyper-casual games for global market.
 - Notable Products: Idle Lumber Empire that has >100M user from 2021 until now, which is quite good as a simulation game
 - Note: Garena has approached this studio in ~2022, yet haven't finalized the deal",50,Idle Lumber Empire,,4,,,
13,23/Jul/2025,"Company
Mid scale",Topebox,VN,Ha Noi,2012,"Founders: Liêm
 - Organizational Structure: Operates as an independent game development and publishing studio, has developed both internal IP and co-developed with global partners such as Habby
 - Core Values: Focus on design-driven, emotionally engaging game experiences
 - Direction: Initially focused on mobile casual and premium games, then Crypto era pivoted to include mid-core and NFT/metaverse-based games, e.g. The Wasted Lands; nowadays show effort into midcore games both on mobile and PC
 - Notable Products: most recents is Daymare Zero which show direction of adapting into midcore game, though the performance wasn't significant but they still invest into more projects",70,,"2025: Politaire/Heroes
The evolution of Politaire. A premium roguelike deckbuilder for Steam and iOS.
Link video: https://www.youtube.com/watch?v=OE4iIw1kfkE&feature=youtu.be

2026: The Severed Gods
A dark turn-based RPG with unforgettable bosses and worldbuilding
Link video: https://www.youtube.com/watch?v=oho5DWzPR7c
Link steam: https://store.steampowered.com/app/3755930/The_Severed_Gods",4,,,
14,26/Aug/2025,Company,Divmob,VN,Ho Chi Minh,2012,"Founder: Ngô Văn Luyến
 - Organizational Structure: CEO (Luyến) is also Leader, many employees are divided into different roles such as game designer, game developer,...
 - Direction: focusing on easy-to-play strategy & action mobile games
 - Notable Products: Ninja Revenge, Zombie Age 2, Zombie Age 3, Legions War, Stick Fight and Epic Heroes War",Above 50,Stick Fight,,,,no,
15,26/Aug/2025,Company,XGame Studio,VN,Ha Noi,2018,"Founder: Phung Van Quyet
 - Organizational Structure: CEO (Quyet) is also Leader, along with two others: Nguyen Tuan Anh as Chief Production Officer and Nguyen Van Viet as Chief Technology Officer.
 - Core Values: Dynamic, Enthusiastic, Creative, Professional, Open
 - Direction: focusing on casual and hyper-casual mobile games with trending content
 - Notable Products: 
   + Magic Fashion: Doll Dressup which targets a female audience with updates inspired by recent trends such as KPOP Demon Hunter, and Wednesday.
   + Money Run 3D: Hyper-casual game which has >50M downloads
   + Craft Runner: Endless run game which has many famous characters (Iron Man, The Flash, Steve (Minecraft))",Above 200,"Super City: Building Master
Craft Runner
Meow Merge 2248
Prison Escape Journey","Capybara Challenge (Early Access):
- Gerne: Simulator (like My Talking Tom with many mini-games built-in)
- Downloads: >5M
- Status: Active (Last Updated: 19/06/2025)",,,no,
16,26/Aug/2025,Company,Gemmob Studio,VN,Ha Noi,2017,"Founder: Le Dinh Hung
 - Direction: focusing on casual mobile games
 - Notable Products: Overdrive & Overdrive II (Action), Galaxy Attack (Shoot'em up (like Chicken Invaders)), Merge Adventure: Auto Tank War (Auto Battle)",50,Overdrive - Ninja Shadow Reven,,,,No,
17,26/Aug/2025,Company,Horus Entertainment,VN,Ha Noi,2017,"Founder: Nguyen Duy Son
 - Organizational Structure: Aims to be in the top 100 highest-grossing games in the US by making only high quality global games.
 - Core Values: Better games make a better life (Games with interesting contents and beautiful graphics could help players relax and recharge after a long day.)
 - Direction: Focused on FPS mobile games.
 - Notable Product: 
   + World War: Fight For Freedom (>100M downloads): FPS that player can't move (like House of The Dead or Beach Head))
   + BulletStrike: Shooting Game (>10M downloads): like CS, CF",50,World War: Fight For Freedom,,,,,
18,26/Aug/2025,Indie,Archmage Games Studio,VN,Ha Noi,2021,"Founder: Đạt & Hiển
 - Organizational Structure: Beside Đạt & Hiển, Nguyễn Khánh Duy is the new CTO of the studio
 - Direction: Currently, they have only one game and focus solely on PC games.
 - Notable Product: God Of Weapons (Action Roguelike + Inventory Management) ",20,God Of Weapons,,,,,
19,26/Aug/2025,Indie,TEGA studio,VN,Ho Chi Minh,~2021,"Founder: Dương Đặng Đức Lợi
 - Organizational Structure: Founder (Lợi) is a Game Developer as well as the scriptwriter and story writer for the game, while also managing Social. In addition, the team includes one Game Developer and one 3D Technical Artist.
 - Direction: The team’s aspiration is to bring Vietnamese culture into the game.
 - Notable Product: Blood Field (Horror) ",3,Blood Field,,,,,
20,26/Aug/2025,Company,Spirit Bomb,VN,Ho Chi Minh,2013,"Founder: Minh Quan Ngo
 - Direction: focusing on arcade shooting mobile games
 - Notable Products: Sky Champ (>10M Downloads), Dragon Wings (>1M Downloads), Atlantis (>5M Downloads)",~50,Dragon Wings,,,,,
21,26/Aug/2025,Company,Imba Games,VN,Ho Chi Minh,2015," - Core Values: IMBA is dedicated to creating high-quality and enjoyable games that will stand the test of time.
 - Direction: Focused on RPG and Simulator mobile games
 - Notable Product: 
   + Hero Survivors - Spells Maker (>100K downloads): Magic Survival-like game
   + Meow Meow Warriors (>100K downloads): Idle RPG",>100,Meow Meow Warriors,,,,,
22,26/Aug/2025,Company,Athena Studio,VN,Ho Chi Minh,2015," - Core Values: focused on developing mobile gaming apps for worldwide users
 - Direction: Focused on Casual and Puzzle mobile games
 - Notable Product: 
   + Woody Block Puzzle (>10M downloads)
   + Woody 99 - Sudoku Block Puzzle (>5M downloads): Sudoku + Block gameplay",>150,Woody Block Puzzle,,,,,
23,26/Aug/2025,Company,Bravestars Games,VN,Ha Noi,2013,"Founder: Hoàng Viết Hải (CEO from 2013 - 2025)
CEO: Lê Mạnh Đức (from 2025)
 - Core Values: Commitment, Companion, Proactive, Integrity, Learning
 - Direction: Focused on Casual and Fashion (for female users) mobile games
 - Notable Product: 
   + Hair Salon: Beauty Salon Game (>50M downloads)
   + Block Puzzle - Gem Block (>5M downloads)",>100,Hair Salon: Beauty Salon Game,,,,,
24,26/Aug/2025,Company,Gear Games,VN,Ha Noi,2006,"Outsourcing Company
 - Notable Product: 
   + Legends of Runeterra
   + Marvel Strike Force
   + Arcane Rush (dev & publish)",> 400,Arcane Rush,,,,,
25,26/Aug/2025,Indie,Tea Mobi,VN,Ha Noi,2010,"Founder: Nhat Nguyen
  - Direction: Focused on avatar life game in 2010s, they have developed many offline casual games in recent years.
  - Notable Product: 
   + Avatar Land (Avatar life online game)
   + Aqua Chaos: Fish Aquarium King (Aquarium-like game)
   + Ninja School",<10,Ninja School,,,,,
26,26/Aug/2025,Company,Apero Technologies Group,VN,"Ha Noi, Ho Chi Minh",2020,"Founder: Tai Nguyen
  - Direction: In addition to games, they also develop some AI apps and other applications.
  - Notable Product: 
   + Triple Minded: 3D Sorting Game (>500K downloads): Puzzle Game",~100,Triple Minded: 3D Sorting Game,,,,,
27,26/Aug/2025,Company,Alley Labs,VN,Ha Noi,2006,"  - Direction: They develop games across multiple genres.
  - Notable Product: 
   + Gangster Survivor (>1K downloads)
   + Match & Score (>50K downloads): Match-3 game with football theme
   + Custom Racing (>1K downloads): Auto-racing game",>250,Match & Score,,,,,
28,26/Aug/2025,Company,UNIMOB,VN,Ha Noi,2015,"  - Direction: Focused on casual games, mainly idle RPGs.
  - Notable Product: 
   + Food Fever: Idle Restaurant (>1M downloads)
   + Idle Army: Trading Weapons (>50K downloads)
   + Undead City: Zombie Survivor (>1M downloads): Roguelite Bullet Hell game",<50,Food Fever: Idle Restaurant,,,,,
29,26/Aug/2025,Company,Amobear,VN,Ha Noi,2013,"Founder: Tuan Nguyen
  - Direction: Focused on casual and hyper-casual games.
  - Notable Product (>10M downloads): 
   + Gangster City: Hero vs Monster (GTA-like game)
   + 456 Run Challenge: Clash 3D (Squid Game theme)
   + Monster Pocket: Run & Building (hyper-casual game with pokemon theme)",<100,Monster Pocket: Run & Building,,,,,
30,26/Aug/2025,Company,Saigon Dragon Studios,VN,Ho Chi Minh,2015,"CEO: Victor Vautrin
  - Direction: They are 2D & 3D arts studio and are currently developing and publishing their own game
  - Notable Product: Space Tales (RTS)",>60,Space Tales,"Space Tales
- Gerne: RTS
- Theme: Space
- Status: Coming soon (no release date yet)
- Demo: https://store.steampowered.com/app/2457960/Space_Tales/",,,,
31,26/Aug/2025,Company,BAZOOKA GAMES STUDIO,VN,Ha Noi,2016,"Founder: Đàm Trọng Đức (CEO), Đỗ Trọng Hưng
  - Direction: Outsource games across multiple games.
  - Notable Product: 
   + How to Loot - Pin Pull (>100M Downloads): Puzzle Game
   + Avatar Life: My World (>10M Downloads) 
   + Stickman Dragon Fight - Super (>10M Downloads): Fighting game with anime theme
BAZOOKA GAME STUDIO and SUPERGAME have both worked on some games (based on the websites of both studios):
   + How to Loot - Pin Pull
   + Stick Clash
   + Brain Up",>100,Avatar Life: My World,,,,,
32,26/Aug/2025,N/A,BRAYANG STUDIO,VN,Ho Chi Minh,2014,"  - Direction: Focusing on shooting games for mobile and VR.
  - Notable Product: 
   + Dead Cover: Offline Shooting (>500K Downloads)
   + Idle Survival: Zombie Poly Z (>10K Downloads) 
   + Strike Back: Elite Force - FPS (>1M Downloads)",N/A,Strike Back: Elite Force,,,,,
33,27/Aug/2025,Company,CSCMobi,VN,Ha Noi,2015,"CEO: Phan Văn Thiện
  - Direction: Focusing on casual games with cute and accessible visuals.
  - Notable Product (>5M Downloads): 
   + Kong Island: Farm & Survival
   + Cooking Marina",>100,Cooking Truck,,,,,
34,27/Aug/2025,Company,Dmobin Studio,VN,Ha Noi,2019,"  - Direction: Focusing on casual games with simple gameplay similar to flash games.
  - Notable Product: 
   + Red Stick Boy: Adventure Game (>10M Downloads)
   + Survival 456 But It's Impostor (>50M Downloads)",>70,Survival 456 But It's Impostor,,,,,
35,27/Aug/2025,Company,Funzilla,VN,Ha Noi,2020,"  - Direction: Focusing on casual games with simple gameplay. They have more games on iOS than on Android.
  - Notable Product: 
   + Cake Decorate (>1M Downloads)
   + Alien Kill (>5M Downloads)
   + Helix Smash (>5M Downloads)",~50,Helix Smash,,,,,
36,27/Aug/2025,Company,Gamee Studio,VN,Ha Noi,2019,"Founder: Đức Giang
  - Direction: Focusing on casual and midcore games.
  - Notable Product: 
   + Survivor Kingdoms (>1M Downloads): Roguelite RPG
   + Royal Pin: King Adventure (>5M Downloads): Puzzle Game
   + Nexus Hero: Adventure RPG (>10K Downloads): Roguelite RPG",>60,Survivor Kingdoms,"God Slayer: RPG Roguelike
 - Gerne: Roguelite RPG
 - Theme: Mythology
 - Status: Beta (Last update: 06/2025)",,,,
37,27/Aug/2025,Company,Gapu Studio,VN,Ha Noi,N/A,"  - Direction: Focusing on casual mobile games, mainly puzzle.
  - Notable Product: 
   + Delete Master 2 (>10M Downloads): Puzzle Game
   + Death Puzzle (>1M Downloads)",<50,Delete Master 2,,,,,
38,27/Aug/2025,Company,GENIFY,VN,Ha Noi,2008,"  - Direction: Focusing on casual mobile games
  - Notable Product: 
   + Fall.io - Race of Dino (>10M Downloads): Battle Royale with cute theme
   + Meme Hidden Sniper (>100K Downloads): Shooting game with meme materials",<50,Fall.io - Race of Dino,,,,,
39,27/Aug/2025,Company,HIGAME,VN,Ha Noi,2022,"  - Direction: Focusing on casual and hyper-casual mobile games
  - Notable Product: 
   + Famous Fashion: Stylist Queen (>1M Downloads)
   + Slime Pet: My Squishy Friend (>1M Downloads): Pet Simulator",~50 - 200,Famous Fashion: Stylist Queen,,,,,
40,27/Aug/2025,Company,IceBear,VN,Ha Noi,2018,"  - Direction: Focusing on casual and hyper-casual mobile games
  - Notable Product: 
   + Dinosaur Merge: Block Fighting (>5M Downloads)
   + Draw It Story - Draw Puzzle (>50M Downloads): Puzzle
   + Satisday ASMR: Organizing game (>10M Downloads): Puzzle",>50,Draw It Story - Draw Puzzle,,,,,
41,27/Aug/2025,N/A,Little Rabbit Games,VN,Ho Chi Minh,2018,"  - Direction: Focusing on casual and hyper-casual games for iOS
  - Notable Product: 
   + Vacuum Hero: Hyper-casual
   + Magic Ball Idle: Idle game with space theme
   + Paint Roller: Color Race: Hyper-casual",N/A,Vacuum Hero,,,,,
42,27/Aug/2025,N/A,MegaJoy Studio,VN,Ha Noi,N/A,"Founder: Hoang Doanh
  - Direction: Focusing on casual mobile games, mainly puzzle.
  - Notable Product: 
   + Brain Fever: Puzzle Game (>1M Downloads)
   + Star Girl: Love Story (>10M Downloads): Puzzle Game
   + Role Swap: Tricky Puzzle (>10M Downloads)",N/A,Star Girl: Love Story,,,,,
43,27/Aug/2025,Company,MGIF,VN,Ho Chi Minh,~2018,"Founder: Thanh Nhan https://www.linkedin.com/in/nhan-thanh-4a121659/
  - Direction: Focusing on their only RPG title
  - Notable Product: 
   + Heroes Legend: Idle Battle War (>1M Downloads): RPG
   + Red and Blue: Twin Color Ball (>100K Downloads): Puzzle Game",<50,Heroes Legend: Idle Battle War,,,,,
44,27/Aug/2025,Company,Mirai Studio,VN,Ha Noi,2023,"They separated from IceTea Labs after two years of operation and officially became independent in 2023. They are an outsourcing company for mobile, PC, and Web3 games, while also publishing third-party titles.

Company Linkedin: https://www.linkedin.com/company/mirai-studio/

  - Direction: Focusing on casual mobile games
  - Notable Product: 
   + Home Rush (>10M Downloads): Puzzle Game
   + Bad Student: School Prank (>100K Downloads): Simulator",~50 - 200,Home Rush,,,,,
45,27/Aug/2025,N/A,MoPa Game Studio,VN,Ho Chi Minh,2022,"Founder: Thang Phan (Co-founder) - used to work as Tech Lead for Amanotes for 4 years then went out to start his own studio https://www.linkedin.com/in/thang-phan-496818b9/?originalSubdomain=vn
  - Direction: Focusing on casual mobile games, mainly .io games.
  - Notable Product: 
   + Sky Battle.io (>10K Downloads)
   + SDragon.IO (>10K Downloads)
   + Hero.IO - Super Punch (>100K Downloads)",N/A,Hero.IO - Super Punch,,,,,
46,27/Aug/2025,Indie,Skrollcat Studio,SG,Singapore,2019,"Five people founded a studio while studying and working in Singapore. The Director and   Art Director are Vietnamese.

  - Founders:
   + Director: Cao Son Tung (currently working as 3D Artist at NUS, previously game artist / level designer at NTU)
   + Art Director: Son Tra
Their interview: https://www.youtube.com/watch?v=TVmjM3b4MBo

  - Notable Product: Hoa (2D Platformer game with Ghibli Artstyle, co-developed with Kyx Studio in VN, selling 200k copies, winning 3 Webby Awards in 2022)

  - Even though HOA has been relatively successful, it seems to be just a side hustle of the founder, Son Tung as he's still spending most of his time working his full-time job rather than developing the studio after the first success.",5,Hoa,,,,,
47,27/Aug/2025,N/A,Net's Game,VN,Ha Noi,2022,"Founder: Khanh .Nguyen Bao
  - Direction: Focused on casual mobile games with various genres.
  - Notable Product: 
   + Monster Rescue: Treasure Hunt (>50K Downloads): 2D Platformer
   + Fruit & Food: Puzzle Saga (>5K Downloads): Match-3 game
   + WOF: World of Fighters (>1K Downloads): Slide Scrolling Action game",N/A,Monster Rescue: Treasure Hunt,,,,,
48,28/Aug/2025,Company,Zitga,VN,Ha Noi,2015,"Founder: Tung Luong - used to be the CEO but now has delegated and working on Eagle Games (studio focusing on mobile Idle games) and Empire Edu (an EdTech start-up)

Current CEO: Harris Hieu Bui (used to worked in MKT and UA at SohaGame (top publisher in VN) and Amanotes - a big studio in VN too)

  - Direction: Focused on midcore mobile games, mainly Action RPGs.
  - Notable Product: 
   + Stickman Legends (>50M Downloads): Slide Scrolling Action
   + Empire Warriors: Tower Defense (>10M Downloads)
   + Shadow War: Idle RPG Survival (>1M Downloads): Idle RPG",~100,Stickman Legends,,,,,
49,28/Aug/2025,Company,Percas Studio,VN,Ha Noi,2020,"Founder: Long Nguyễn Minh
  - Direction: Focused on casual mobile games, mainly Puzzle, although their most successful game is Tower Defense gerne.
  - Notable Product: 
   + Stick Conquer (>10M Downloads): Strategy Tower Defense
   + Bird Story: ASMR Bird Sort (>100K Downloads): Puzzle",<50,Stick War,,,,,
50,28/Aug/2025,Company,Skylink Studio,VN,Ho Chi Minh,2021,"Co-founder: Vinh Dang Tuan (used to work at VNG studio) & Nam Vo (used to work at Gameloft)
  - Direction: Focused on casual mobile games, mainly Puzzle
  - Notable Product: 
   + Toy Triple - 3D Match Puzzle (>500K Downloads): Puzzle Match-3
   + Merge Master - Elden Warrior (>1M Downloads)
   + Tile Animal: Triple Puzzle (>100K Downloads)",>100,,,,,,
51,28/Aug/2025,Indie,Smulie,VN,Ho Chi Minh,2021,"Founder: Thuan Tran (founded another company named OneP Studio building Unity dev tool for games; used to work as Tech Head at Amanotes)
  - Direction: They use games for music education.
  - Notable Product: 
   + Simpia: Learn Piano Fast (>1M Downloads): Music game that can be used to learn piano
   + Tap The Beat Duel (>100K Downloads): Rhythm game
   + Monster All Stars Battle (>10K Downloads): Rhythm game",10 - 25,Simpia: Learn Piano Fast,,,,,
52,28/Aug/2025,Company,Sugame,VN,Ha Noi,2016,"Founder: Truong Ngoc Duy
 
 - Direction: Focused on puzzle mobile games.
  - Notable Product: 
   + Blockpuz (>10M Downloads): Puzzle Block
   + Tap Away 3D: Tap Master (>1M Downloads): Puzzle
   + Water Sorting: Color Games (>10M Downloads): Puzzle",~50,Blockpuz,,,,,
53,28/Aug/2025,Company,Sun Studio,VN,Ho Chi Minh,2018,"  - Direction: Focused on puzzle games for web.
  - Notable Product: 
   + Bubble Fall: Bubble Shooter (> 5K Download on GPS)
   + Dinosaurs Merge Master: Auto Battle (H5 game on crazygames.com)
   + Sweet Cookie: Match-3",>70,Bubble Fall: Bubble Shooter,,,,,
54,28/Aug/2025,Company,SuperGame,VN,Ha Noi,2018,"Founder: Chế Đình Sơn
  - Direction: Focused on casual mobile games.
  - Notable Product: 
   + Hero Rescue (>50M Downloads): Puzzle
   + Stick Clash (>10M Downloads): Strategy
BAZOOKA GAME STUDIO and SUPERGAME have both worked on some games (based on the websites of both studios):
   + How to Loot - Pin Pull
   + Stick Clash
   + Brain Up",>80,Hero Rescue,,,,,
55,28/Aug/2025,Company,The Minders Studio,VN,Ha Noi,2021,"Founder: Minh Nguyen Hoang (used to work for Gear as Game Engineer)
  - Direction: Focused on casual & hyper-casual mobile games.
  - Notable Product: 
   + Idle Universe: Planet Miner (>100K Downloads): Idle Simulation with space theme
   + Sort Frenzy: Rescue Bus Jam 3D (>1K Downloads): Puzzle
   + Backpack Combat: Bag Fight (>1K Downloads): Action & Management",>40,Idle Universe: Planet Miner,,,,,
56,28/Aug/2025,Company,Titan Global,VN,Ha Noi,2021,"Founder: Nhat Nguyen (used to work at Zitga as game designer for almost 2 years before founding his own studio)
  - Direction: Focused on puzzle mobile games.
  - Notable Product: 
   + Color Water Sort Wooden Puzzle (>50M Downloads)
   + Bloom Tile: Match Puzzle Game (>1M Downloads)
   + Block Puzzle: Block Smash Game (>10M Downloads): Puzzle",~50,Color Water Sort,,,,,
57,28/Aug/2025,Indie,VIGAFUN,VN,Ha Noi,2020,"Founder: Robert Nguyen
 
 - Direction: Focused on casual & hyper-casual mobile games.
  - Notable Product: 
   + Grow Animals (>10M Downloads): Simulation
   + Jam Highway - Comeback Home (>1M Downloads)
   + Art Assemble: Home Makeover (>10M Downloads): Simulation",~30,Grow Animals,,,,,
58,28/Aug/2025,Company,WEE GROUP,VN,Ho Chi Minh,After 2017,"Founded in 2017, they are a technology corporation with multiple subsidiary companies specializing in games.

WEJOY GAMES STUDIO
Founder: Michael Ngo
  - Direction: Focused on casual & hyper-casual mobile games. Their main customer base is primarily in the US, India, China, and several European countries.

Apus Game Studio
Founder: Nam Tran
  - Direction: Focused on casual & hyper-casual mobile games, mainly simulation.
  - Notable Product: 
   + Undead City Ark Gun Idle
   + Duck Hunt 3D - Craftsman","~30 (WEJOY GAMES STUDIO)

20 - 50 (Apus Game Studio)",,,,,,
